hex_id,stat,utci_present,utci_2050,utci_2090
1004,typical_day_mean_utci,34.48,38.81,42.19
966,typical_day_mean_utci,34.75,39.15,42.6
1044,typical_day_mean_utci,33.33,37.35,40.39
1005,typical_day_mean_utci,34.84,39.3,42.79
1082,typical_day_mean_utci,33.89,38.12,41.37
1083,typical_day_mean_utci,33.84,38.0,41.2
1084,typical_day_mean_utci,34.02,38.28,41.57
1085,typical_day_mean_utci,33.88,38.1,41.34
1045,typical_day_mean_utci,34.08,38.35,41.65
967,typical_day_mean_utci,34.66,39.07,42.52
1006,typical_day_mean_utci,34.88,39.34,42.85
968,typical_day_mean_utci,34.74,39.16,42.61
1046,typical_day_mean_utci,34.19,38.49,41.82
1007,typical_day_mean_utci,34.31,38.64,42.0
969,typical_day_mean_utci,34.68,39.06,42.49
1047,typical_day_mean_utci,34.08,38.34,41.63
1008,typical_day_mean_utci,34.17,38.44,41.75
1048,typical_day_mean_utci,34.25,38.56,41.9
970,typical_day_mean_utci,34.05,38.3,41.59
1009,typical_day_mean_utci,34.06,38.33,41.63
971,typical_day_mean_utci,34.1,38.37,41.68
